Path,Author,Modifier,DateCreated,DateSaved
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Laikipia West/MOH 705B_Out Patient Summary_Over 5 years 2011.xls,Robert Wathondu,hmis02,1/27/2008 13:30,2/16/2011 15:40
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Laikipia West/MOH 710_Immunization Summary  2009.xls,Robert Wathondu,laikipia west and Nyahururu,2/7/2008 14:06,1/28/2010 6:38
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Laikipia West/MOH 710_Immunization Summary 2010.xls,Robert Wathondu,HIS ,2/7/2008 14:06,1/18/2011 16:01
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Laikipia West/Hospital Administarative Statistics 2011.xls,D. Muania,hmis02,8/9/2005 5:07,3/7/2011 13:01
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Laikipia West/MOH 105_Service Delivery Summary AOP6.xls,Samuel Cheburet,hmis02,2/7/2008 13:50,7/22/2011 5:57
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Laikipia West/MOH 717 Service Statistics- Workload 2011.xls,D. Muania,hmis02,8/10/2005 10:27,3/7/2011 11:33
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Laikipia West/Hospital Administrative Statistics 2011.xls,Not working,,,
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Laikipia West/MOH 705A_Out Patient Summary_Under 5 years 2009.xls,Robert Wathondu,laikipia west and Nyahururu,1/27/2008 13:30,1/29/2010 7:41
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Laikipia West/Analysis.xls,, JAMES SAINA,10/14/1996 23:33,11/14/2008 10:45
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Laikipia West/MOH 710_Immunization Summary 2011.xls,Robert Wathondu,SAMUEL,2/7/2008 14:06,3/8/2011 17:24
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Laikipia West/DISTRICT WORKLOAD MOH 717 2010 LAIKIPIA WEST .xls,James K Saina,Samuel,8/10/2005 10:27,11/1/2010 4:45
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Laikipia West/MOH 705B_Out Patient Summary_Over 5 years 2010.xls,Robert Wathondu,hisdec2010,1/27/2008 13:30,1/18/2011 11:55
J:/LIMITED_USE/PROJECT_FOLDERS/KEN/ART_ABCE/HMIS/Districts/Laikipia West/MOH 711B_Integrated Summary_Reproductive Health_TB_Malaria_CHANNIS_HIV_AIDS  2009.xls,HMIS,User,2/11/2008 10:11,3/26/2010 14:17
